# especialista_posts_detalhado.csv — trades individuais transcritos dos prints (2026-07-11)
# ATENÇÃO: transcrição visual de screenshots — conferir antes de qualquer uso quantitativo.
# Somente horários de FECHAMENTO visíveis; horários de abertura não constam nos prints.
# side = lado da ORDEM no par (buy/sell); volume constante 60.00 lotes em todos os trades.
# VALIDAÇÃO: soma dos trades == lucro total do print em 10/11 dias (diff 0.00).
# 2026-07-02 diverge +966.06 — provável erro de leitura de um dígito num dos 7 trades; conferir no print original.
date,pair,side,entry,exit,close_time_server,profit
2026-06-16,EURAUD,buy,1.63912,1.64046,10:55:53,5689.67
2026-06-16,EURCAD,buy,1.62203,1.62480,10:55:53,11875.58
2026-06-16,EURCHF,buy,0.92094,0.92208,10:55:53,8612.55
2026-06-16,EURGBP,buy,0.86409,0.86484,10:55:54,6040.57
2026-06-16,EURJPY,buy,185.746,186.103,10:55:55,13362.86
2026-06-16,EURNZD,buy,1.98921,1.98985,10:55:55,2240.26
2026-06-16,EURUSD,buy,1.15929,1.16096,10:55:55,10020.00
2026-06-17,AUDNZD,buy,1.21171,1.21422,10:50:05,8753.03
2026-06-17,EURNZD,buy,1.99111,1.99545,10:50:05,15134.96
2026-06-17,GBPNZD,buy,2.30241,2.30757,10:50:05,17994.57
2026-06-17,NZDCAD,sell,0.81604,0.81429,10:50:07,7494.22
2026-06-17,NZDCHF,sell,0.46245,0.46046,10:50:16,15073.66
2026-06-17,NZDJPY,sell,93.553,93.140,10:50:16,15465.94
2026-06-17,NZDUSD,sell,0.58619,0.58135,10:50:16,11040.00
2026-06-18,EURGBP,buy,0.86521,0.86658,10:56:00,10873.91
2026-06-18,GBPAUD,sell,1.89487,1.88809,10:56:02,28503.26
2026-06-18,GBPCAD,sell,1.87560,1.86814,10:56:04,29985.98
2026-06-18,GBPCHF,sell,1.06319,1.06303,10:56:05,1194.52
2026-06-18,GBPJPY,sell,213.601,212.894,10:56:27,26356.50
2026-06-18,GBPNZD,sell,2.30332,2.29677,10:56:27,22635.62
2026-06-18,GBPUSD,sell,1.33218,1.32277,10:56:27,43500.00
2026-06-19,AUDNZD,buy,1.21850,1.22168,10:48:21,10950.97
2026-06-19,EURNZD,buy,1.99086,1.99656,10:48:24,19629.09
2026-06-19,GBPNZD,buy,2.29389,2.30445,10:48:25,36365.48
2026-06-19,NZDCAD,sell,0.81389,0.81191,10:48:28,8399.02
2026-06-19,NZDCHF,sell,0.46316,0.46294,10:48:29,1636.82
2026-06-19,NZDJPY,sell,92.836,92.596,10:48:29,8927.02
2026-06-19,NZDUSD,sell,0.57555,0.57405,10:48:30,9000.00
2026-06-22,EURGBP,sell,0.86790,0.86562,10:42:00,18109.86
2026-06-22,GBPAUD,buy,1.88612,1.88997,10:42:02,16179.47
2026-06-22,GBPCAD,buy,1.87183,1.87565,10:42:04,16177.18
2026-06-22,GBPCHF,buy,1.06724,1.06917,10:42:06,14339.14
2026-06-22,GBPJPY,buy,213.200,214.101,10:42:08,33430.42
2026-06-22,GBPNZD,buy,2.30385,2.31064,10:42:10,23340.35
2026-06-22,GBPUSD,buy,1.32038,1.32393,10:42:12,21300.00
2026-06-25,EURAUD,sell,1.64573,1.64509,11:43:15,2646.60
2026-06-25,EURCAD,sell,1.61599,1.61494,11:43:15,4422.23
2026-06-25,EURCHF,sell,0.92255,0.92176,11:43:16,5830.12
2026-06-25,EURGBP,sell,0.86240,0.86159,11:43:16,6395.80
2026-06-25,EURJPY,sell,183.671,183.601,11:43:17,2593.57
2026-06-25,EURNZD,sell,2.01144,2.01133,11:43:17,372.07
2026-06-25,EURUSD,sell,1.13533,1.13380,11:43:19,9180.00
2026-06-29,AUDJPY,buy,111.569,111.680,10:51:10,4114.69
2026-06-29,CADJPY,buy,114.018,114.038,10:51:12,741.38
2026-06-29,CHFJPY,buy,199.735,200.209,10:51:15,17570.96
2026-06-29,EURJPY,buy,184.209,184.582,10:51:18,13826.93
2026-06-29,GBPJPY,buy,213.515,213.957,10:51:19,16384.73
2026-06-29,NZDJPY,buy,91.272,91.499,10:51:20,8414.78
2026-06-29,USDJPY,buy,161.795,161.858,10:51:20,2335.38
2026-06-30,AUDNZD,sell,1.21817,1.21700,10:43:41,3972.20
2026-06-30,EURNZD,sell,2.02101,2.01485,10:43:45,20913.45
2026-06-30,GBPNZD,sell,2.34559,2.33958,10:43:46,20404.19
2026-06-30,NZDCAD,buy,0.80302,0.80534,10:43:49,9778.85
2026-06-30,NZDCHF,buy,0.45646,0.45771,10:43:50,9270.59
2026-06-30,NZDJPY,buy,91.513,91.850,10:43:55,12455.18
2026-06-30,NZDUSD,buy,0.56519,0.56576,10:43:58,3420.00
2026-07-02,EURGBP,sell,0.86132,0.85686,03:14:12,35545.04
2026-07-02,GBPAUD,buy,1.91655,1.92791,03:14:17,46954.74
2026-07-02,GBPCAD,buy,1.88238,1.88830,03:14:18,24981.89
2026-07-02,GBPCHF,buy,1.07164,1.07467,03:14:18,22468.86
2026-07-02,GBPJPY,buy,215.504,215.884,03:14:19,14027.92
2026-07-02,GBPNZD,buy,2.33497,2.34163,03:14:20,22663.71
2026-07-02,GBPUSD,buy,1.32511,1.32817,03:14:22,18360.00
2026-07-06,AUDJPY,buy,112.008,112.559,10:41:50,20368.44
2026-07-06,CADJPY,buy,113.678,114.180,10:41:51,18557.09
2026-07-06,CHFJPY,buy,200.864,201.477,10:41:53,22660.35
2026-07-06,EURJPY,buy,184.656,185.347,10:41:56,25543.40
2026-07-06,GBPJPY,buy,215.579,216.563,10:41:57,36374.84
2026-07-06,NZDJPY,buy,92.055,92.270,10:41:58,7947.75
2026-07-06,USDJPY,buy,161.476,162.310,10:41:59,30829.89
2026-07-10,AUDJPY,sell,112.722,112.413,10:40:06,11463.77
2026-07-10,CADJPY,sell,114.604,114.179,10:40:07,15767.11
2026-07-10,CHFJPY,sell,201.287,200.526,10:40:09,28232.41
2026-07-10,EURJPY,sell,185.636,184.895,10:40:12,27490.43
2026-07-10,GBPJPY,sell,217.766,217.071,10:40:13,25783.88
2026-07-10,NZDJPY,sell,93.529,93.339,10:40:14,7048.87
2026-07-10,USDJPY,sell,162.374,161.728,10:40:15,23966.17
